product_name,manufacturer,pages
cb-3 lf Circuit Setter Plus Calibrated Balance Valve with NPT and Solder Connections,Xylem Inc.,"[1, 5]"
"True Union 2000 Industrial Ball Valve, 6"" Lever Handle Style",Unknown,"[1, 6]"
"True Union 2000 Industrial Ball Valve, 1/2"" Socket Style",Unknown,"[1, 6]"
"True Union 2000 Industrial Ball Valve, 1/2"" Spigot Ends",Unknown,"[1, 6]"
"True Union 2000 Industrial Ball Valve, 6"" T-Handle Style",Unknown,"[1, 6]"
"CPVC 6"" Industrial T-Handle Valve Option (Non-Locking)",Unknown,"[1, 6]"
True Union 2000 Industrial Ball Valve,Unknown,"[1, 7]"
True Union 2000 Industrial Vented/Bleach Ball Valve,Unknown,"[1, 7]"
"CPVC 6"" Industrial T-Handle Valve Option",Unknown,"[1, 7]"
CPVC True Union 2000 Industrial Vented/Bleach Ball Valve (SR Threaded Ends),Unknown,"[1, 7]"
CPVC True Union 2000 Industrial Vented/Bleach Ball Valve (Flanged Ends),Unknown,"[1, 7]"
True Union 2000 Industrial 3-Way Ball Valves,Unknown,"[1, 8]"
"5022l1-005c 1/2"" L-Port Ball Valve",Unknown,"[1, 8]"
"5022t1-005c 1/2"" T-Port Ball Valve",Unknown,"[1, 8]"
"5022l1-007c 3/4"" L-Port Ball Valve",Unknown,"[1, 8]"
"5022t1-007c 3/4"" T-Port Ball Valve",Unknown,"[1, 8]"
"5022l1-010c 1"" L-Port Ball Valve",Unknown,"[1, 8]"
"5022t1-010c 1"" T-Port Ball Valve",Unknown,"[1, 8]"
"5022l1-012c 1-1/4"" L-Port Ball Valve",Unknown,"[1, 8]"
"5022t1-012c 1-1/4"" T-Port Ball Valve",Unknown,"[1, 8]"
"5022l1-015c 1-1/2"" L-Port Ball Valve",Unknown,"[1, 8]"
"5022t1-015c 1-1/2"" T-Port Ball Valve",Unknown,"[1, 8]"
"5022l1-020c 2"" L-Port Ball Valve",Unknown,"[1, 8]"
"5022t1-020c 2"" T-Port Ball Valve",Unknown,"[1, 8]"
"5022l1-025c 2-1/2"" L-Port Ball Valve",Unknown,"[1, 8]"
"5022t1-025c 2-1/2"" T-Port Ball Valve",Unknown,"[1, 8]"
"5022l1-030c 3"" L-Port Ball Valve",Unknown,"[1, 8]"
"5022t1-030c 3"" T-Port Ball Valve",Unknown,"[1, 8]"
"5022l1-040c 4"" L-Port Ball Valve",Unknown,"[1, 8]"
"5022t1-040c 4"" T-Port Ball Valve",Unknown,"[1, 8]"
True Union 2000 Industrial 3-Way Ball Valve 4722l1-005c,Unknown,"[1, 9]"
True Union 2000 Industrial 3-Way Ball Valve 4722l1-007c,Unknown,"[1, 9]"
True Union 2000 Industrial 3-Way Ball Valve 4722l1-010c,Unknown,"[1, 9]"
True Union 2000 Industrial 3-Way Ball Valve 4722l1-012c,Unknown,"[1, 9]"
True Union 2000 Industrial 3-Way Ball Valve 4722l1-015c,Unknown,"[1, 9]"
True Union 2000 Industrial 3-Way Ball Valve 4722l1-020c,Unknown,"[1, 9]"
True Union 2000 Industrial 3-Way Ball Valve 4722l1-025c,Unknown,"[1, 9]"
True Union 2000 Industrial 3-Way Ball Valve 4722l1-030c,Unknown,"[1, 9]"
True Union 2000 Industrial 3-Way Ball Valve 4722l1-040c,Unknown,"[1, 9]"
"tee-style ""zero dead-leg"" ball valves",Unknown,"[1, 10]"
182901m-025c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901m-032c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901m-040c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901m-050c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901m-063c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-005c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-007c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-010c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-020c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-101c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-130c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-131c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-166c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-167c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-168c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-209c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-210c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-211c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-247c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-248c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-249c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-251c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-333c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-335c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-337c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-338c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-417c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-419c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-420c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-528c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
182901-578c Mainline Socket Tee x Valve Socket,Unknown,"[1, 10]"
3627-025c 396.31,unknown,"[11, 610]"
3627-030c 463.39,unknown,"[11, 610]"
3627-040c 839.66,unknown,"[11, 610]"
3629-005c 52.48,unknown,"[11, 610]"
3629-007c 66.13,unknown,"[11, 610]"
3629-010c 78.73,unknown,"[11, 610]"
3629-012c 125.16,unknown,"[11, 610]"
3629-015c 132.16,unknown,"[11, 610]"
3629-020c 176.78,unknown,"[11, 610]"
3623-005c 89.08,unknown,"[11, 610]"
3623-007c 109.19,unknown,"[11, 610]"
3623-010c 125.01,unknown,"[11, 610]"
3623-012c 186.79,unknown,"[11, 610]"
3623-015c 205.47,unknown,"[11, 610]"
3623-020c 285.91,unknown,"[11, 610]"
3621-005csr 53.34,unknown,"[11, 610]"
3621-007csr 68.21,unknown,"[11, 610]"
3621-010csr 80.77,unknown,"[11, 610]"
3621-012csr 131.34,unknown,"[11, 610]"
3621-015csr 138.17,unknown,"[11, 610]"
3621-020csr 183.94,unknown,"[11, 610]"
True Union 2000 Industrial Retrofit Ball Valve,Spears Manufacturing Company,"[1, 12]"
1822R-005C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1832R-005C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1822R-007C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1832R-007C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1822R-010C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1832R-010C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1822R-012C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1832R-012C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1822R-015C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1832R-015C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1822R-020C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1832R-020C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1822R-025C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1832R-025C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1822R-030C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1832R-030C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1822R-040C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
1832R-040C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 12]"
True Union 2000 Industrial Retrofit Ball Valves,Spears Manufacturing Company,"[1, 13]"
1822RS-005C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1832RS-005C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1822RS-007C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1832RS-007C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1822RS-010C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1832RS-010C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1822RS-012C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1832RS-012C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1822RS-015C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1832RS-015C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1822RS-020C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1832RS-020C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1822RS-025C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1832RS-025C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1822RS-030C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1832RS-030C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1822RS-040C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
1832RS-040C CPVC Socket End Connector,Spears Manufacturing Company,"[1, 13]"
True Union 2000 Standard Retrofit Ball Valves,Spears Manufacturing Company,"[1, 14]"
CPVC - Socket Ends,Spears Manufacturing Company,"[1, 14]"
True Union 2000 Standard Retrofit Ball Valves - Replaces Spears® 'Regular Style' Valves,Spears Manufacturing Company,"[1, 14]"
CPVC - Socket Ends (continued),Spears Manufacturing Company,"[1, 14]"
True Union Ball Valves (Regular Style),unknown,"[1, 15]"
Compact 2000 Ball Valves,unknown,"[1, 15]"
6621-020c CPVC 2000 Compact Ball Valve,Unknown,"[2, 16]"
6622-020c CPVC Compact Ball Valve,Unknown,"[2, 16]"
2121-030c CPVC Flanged End Valve,Unknown,"[2, 16]"
2122-005c CPVC Flanged End Valve,Unknown,"[2, 16]"
2123-015c CPVC Threaded End Valve,Unknown,"[2, 16]"
"2621-005C CPVC Ball Valve 1/2""",unknown,"[1, 17]"
"2621-007C CPVC Ball Valve 3/4""",unknown,"[1, 17]"
"2621-010C CPVC Ball Valve 1""",unknown,"[1, 17]"
"2621-012C CPVC Ball Valve 1-1/4""",unknown,"[1, 17]"
"2621-015C CPVC Ball Valve 1-1/2""",unknown,"[1, 17]"
"2621-020C CPVC Ball Valve 2""",unknown,"[1, 17]"
"1529-002C CPVC Socket/Threaded Valve 1/4x3/8""",unknown,"[1, 17]"
"1529-002CA CPVC Socket/Threaded Valve 1/4x1/4""",unknown,"[1, 17]"
"1521-002C CPVC Threaded Valve 1/4""",unknown,"[1, 17]"
"1521-003C CPVC Threaded Valve 3/8""",unknown,"[1, 17]"
"1522-002C CPVC Socket Valve 1/4""",unknown,"[1, 17]"
"1522-003C CPVC Socket Valve 3/8""",unknown,"[1, 17]"
